Lat,Long,Heading,COG,SOG
76.545664,-68.904684,0.7,78.2,0
76.545664,-68.904682,0.7,70.4,0
76.545665,-68.904682,0.7,100.7,0
76.545665,-68.904682,0.7,154.2,0
76.545665,-68.904682,0.7,152.6,0
76.545665,-68.904682,0.7,326.8,0
76.545665,-68.904681,0.7,63.5,0
76.545666,-68.90468,0.7,51,0
76.545666,-68.90468,0.7,63.2,0
76.545666,-68.904679,0.7,336.9,0
76.545665,-68.904678,0.7,128.8,0
76.545665,-68.904677,0.7,24,0
76.545665,-68.904676,0.7,60.5,0
76.545665,-68.904676,0.7,54.3,0
76.545665,-68.904675,0.6,77.7,0
76.545666,-68.904676,0.6,54.8,0
76.545666,-68.904676,0.6,194.4,0
76.545666,-68.904676,0.6,104.5,0
76.545666,-68.904676,0.6,282.2,0
76.545666,-68.904675,0.6,85.2,0
76.545666,-68.904675,0.6,43.6,0
76.545666,-68.904674,0.6,10.2,0
76.545666,-68.904674,0.6,253.4,0
76.545666,-68.904673,0.7,71.9,0
76.545666,-68.904673,0.7,287.4,0
76.545666,-68.904672,0.7,42,0
76.545666,-68.904673,0.7,258.5,0
76.545666,-68.904673,0.7,94.5,0
76.545666,-68.904674,0.7,283.9,0
76.545667,-68.904673,0.7,52.2,0
76.545667,-68.904674,0.7,320.9,0
76.545667,-68.904673,0.7,117.5,0
76.545667,-68.904673,0.7,117.7,0
76.545667,-68.904672,0.8,231.5,0
76.545667,-68.904672,0.7,131.5,0
76.545667,-68.904671,0.7,192.2,0
76.545667,-68.904671,0.7,53,0
76.545667,-68.904671,0.6,296,0
76.545667,-68.904672,0.6,131.7,0
76.545667,-68.904674,0.5,264.3,0
76.545667,-68.904674,0.5,177.1,0
76.545667,-68.904675,0.5,253.8,0
76.545667,-68.904675,0.4,213.9,0
76.545667,-68.904676,0.3,258.7,0
76.545667,-68.904676,0.3,255.8,0
76.545666,-68.904676,0.2,7.2,0
76.545666,-68.904677,0.2,222.5,0
76.545666,-68.904678,0.2,349.7,0
76.545666,-68.904678,0.2,260.5,0
76.545666,-68.90468,0.1,6.6,0
76.545666,-68.90468,0.1,314.2,0
76.545666,-68.904682,0.1,130.4,0
76.545666,-68.904684,0.1,269,0
76.545666,-68.904684,0,64.6,0
76.545665,-68.904685,0.1,284.4,0
76.545665,-68.904685,0.1,49.3,0
76.545665,-68.904685,0,264,0
76.545665,-68.904685,0,121,0
76.545664,-68.904686,359.9,171.3,0
76.545664,-68.904686,359.9,238.7,0
76.545664,-68.904686,359.9,264.3,0
76.545664,-68.904686,359.9,166.1,0
76.545664,-68.904687,359.9,111.3,0
76.545664,-68.904688,359.9,139.6,0
76.545664,-68.904689,359.9,215.2,0
76.545663,-68.904689,359.8,211.5,0
76.545663,-68.904689,359.7,203,0
76.545663,-68.904689,359.7,259.2,0
76.545662,-68.904689,359.6,144.1,0
76.545662,-68.904688,359.6,255.7,0
76.545662,-68.904688,359.6,163.9,0
76.545662,-68.904688,359.6,200.5,0
76.545662,-68.904688,359.6,319,0
76.545661,-68.904689,359.6,143,0
76.545662,-68.904689,359.5,208.7,0
76.545662,-68.90469,359.5,148.4,0
76.545661,-68.90469,359.4,208.9,0
76.545661,-68.904689,359.4,155.4,0
76.545661,-68.904688,359.5,153.1,0
76.54566,-68.904688,359.4,157.7,0
76.54566,-68.904688,359.4,184,0
76.54566,-68.904688,359.4,211.8,0
76.54566,-68.904688,359.4,210.8,0
76.545659,-68.904687,359.4,121.8,0
76.545659,-68.904687,359.4,189.7,0
76.545659,-68.904688,359.4,132.2,0
76.545659,-68.904688,359.3,192.9,0
